country_code,country,year,adult_literacy_rate_(pct),primary_school_completion_rate_(pct),primary_school_enrollment_rate_(pct)
ALB,Albania,2021,98.4499969482422,98.1558303833008,95.9217834472656
ARE,United Arab Emirates,2019,95.526481628418,111.938819885254,114.41236114502
ARG,Argentina,2018,99.0038681030273,98.7062530517578,109.659172058105
ARM,Armenia,2020,99.7886123657227,93.1652908325195,91.2354431152344
AZE,Azerbaijan,2019,99.7959823608398,100.383338928223,97.9353485107422
BDI,Burundi,2017,68.3753280639648,68.3787002563477,123.859619140625
BEN,Benin,2021,45.8400001525879,73.4704513549805,116.714500427246
BFA,Burkina Faso,2021,46.0400009155273,66.9678115844727,92.165397644043
BLR,Belarus,2019,99.8740005493164,108.761741638184,98.4467315673828
BOL,Bolivia,2020,93.8525619506836,92.8816909790039,98.8480987548828
BRN,Brunei Darussalam,2018,97.214111328125,107.801422119141,102.973922729492
BTN,Bhutan,2021,70.9499969482422,89.8401031494141,105.724990844727
CHL,Chile,2017,96.4022827148438,94.7535629272461,101.430160522461
CIV,Cote d'Ivoire,2019,89.8934173583984,78.750846862793,100.315338134766
CMR,Cameroon,2018,77.0710372924805,64.4706802368164,103.402122497559
COG,"Congo, Rep.",2018,80.2987594604492,67.0770797729492,93.6956100463867
COL,Colombia,2020,95.6363296508789,103.751747131348,112.675773620605
CRI,Costa Rica,2021,98.0400009155273,104.660163879395,106.663421630859
CUB,Cuba,2021,99.6731109619141,100.393699645996,101.389938354492
DOM,Dominican Republic,2021,95.1699981689453,87.9816436767578,96.6739883422852
DZA,Algeria,2018,81.4078369140625,105.14395904541,109.882820129395
ECU,Ecuador,2020,93.6260986328125,100.613746643066,99.0236587524414
EGY,"Egypt, Arab Rep.",2017,71.1682510375977,97.1895523071289,106.13346862793
ERI,Eritrea,2018,76.5705184936523,60.2705116271973,68.4338302612305
ESP,Spain,2020,98.5944595336914,98.9044799804688,103.383293151855
ETH,Ethiopia,2017,51.7711791992188,63.6895599365234,102.744514465332
GEO,Georgia,2019,99.5584411621094,92.8278732299805,99.2988815307617
GHA,Ghana,2018,79.0396423339844,93.8091125488281,103.568466186523
GIN,Guinea,2018,39.6176795959473,54.7741203308105,99.2745819091797
GMB,"Gambia, The",2021,58.060001373291,85.1663818359375,102.736511230469
GRC,Greece,2018,97.9359512329102,97.9323806762695,99.3664321899414
GTM,Guatemala,2021,83.3499984741211,87.2322769165039,102.037132263184
IDN,Indonesia,2018,95.658561706543,102.334838867188,106.410820007324
ITA,Italy,2019,99.3490982055664,97.636962890625,100.969337463379
JOR,Jordan,2021,98.4199981689453,80.7191390991211,79.9891128540039
KAZ,Kazakhstan,2020,99.8000030517578,102.002799987793,100.321098327637
KGZ,Kyrgyz Republic,2019,99.5999984741211,108.615371704102,106.047813415527
KHM,Cambodia,2021,83.9100036621094,90.6848526000977,102.928833007813
KOR,"Korea, Rep.",2018,98.8000030517578,95.3767700195313,99.6097793579102
KWT,Kuwait,2020,96.4575424194336,83.8955612182617,87.2829284667969
LAO,Lao PDR,2021,87.0699996948242,88.1973037719727,98.4544219970703
LBR,Liberia,2017,48.3013610839844,60.595401763916,85.1091918945313
LKA,Sri Lanka,2020,92.3823013305664,98.2433090209961,100.301719665527
LVA,Latvia,2018,99.8893127441406,98.3991394042969,99.614387512207
MAC,"Macao SAR, China",2021,97.1100006103516,100.661743164063,97.4704437255859
MAR,Morocco,2021,75.9300003051758,104.022369384766,113.36988067627
MDA,Moldova,2021,99.5999984741211,107.466682434082,107.823852539063
MDG,Madagascar,2018,76.6796798706055,65.4687728881836,142.534286499023
MEX,Mexico,2020,95.2478485107422,102.662628173828,103.692047119141
MLT,Malta,2018,94.5031890869141,103.57763671875,106.674171447754
MNE,Montenegro,2021,98.9800033569336,101.114128112793,102.253273010254
MNG,Mongolia,2020,99.1832733154297,107.745254516602,102.853561401367
MOZ,Mozambique,2017,60.6554298400879,47.1429100036621,107.813247680664
MRT,Mauritania,2017,53.4975891113281,69.7143096923828,96.6590423583984
MUS,Mauritius,2021,92.1500015258789,96.37744140625,98.3996429443359
MYS,Malaysia,2019,94.9711303710938,100.657363891602,104.382522583008
NAM,Namibia,2021,92.25,109.669059753418,125.701362609863
NER,Niger,2021,37.3400001525879,57.8646392822266,64.795036315918
NPL,Nepal,2021,71.1500015258789,103.631309509277,125.379119873047
OMN,Oman,2018,95.6515274047852,100.35710144043,103.392059326172
PAK,Pakistan,2019,57.9988594055176,72.9254531860352,95.4841384887695
PER,Peru,2018,94.4082717895508,96.1007385253906,106.945121765137
PHL,Philippines,2019,96.2781677246094,105.755264282227,99.1477203369141
PRT,Portugal,2018,96.1375885009766,99.5701904296875,106.826728820801
PSE,West Bank and Gaza,2020,97.5144577026367,101.64119720459,96.4271926879883
QAT,Qatar,2017,93.4639663696289,95.669548034668,103.280738830566
ROU,Romania,2018,98.8444976806641,85.2217712402344,87.3253784179688
RUS,Russian Federation,2018,99.7300567626953,101.96321105957,104.678817749023
RWA,Rwanda,2021,75.9000015258789,91.0010528564453,140.704147338867
SAU,Saudi Arabia,2020,97.5850677490234,99.3273086547852,100.219467163086
SDN,Sudan,2018,60.6971817016602,64.0855026245117,78.9529037475586
SEN,Senegal,2021,56.2999992370605,62.9891891479492,81.2439422607422
SGP,Singapore,2020,97.1318511962891,101.401397705078,100.535911560059
SLE,Sierra Leone,2021,47.7000007629395,98.0181274414063,156.445053100586
SRB,Serbia,2019,99.4825286865234,98.6684494018555,99.6447067260742
SUR,Suriname,2021,95.0,80.3766326904297,100.747749328613
SWZ,Eswatini,2018,88.4193801879883,94.4848709106445,114.693618774414
SYC,Seychelles,2020,96.1999969482422,102.679740905762,100.794998168945
TCD,Chad,2021,26.7600002288818,44.5021018981934,93.7421417236328
TGO,Togo,2019,66.5370788574219,87.4238662719727,124.31861114502
THA,Thailand,2021,94.0999984741211,94.7827682495117,99.7014846801758
TLS,Timor-Leste,2020,69.9000015258789,101.289863586426,110.718757629395
TUN,Tunisia,2021,82.6999969482422,104.701736450195,112.251937866211
TUR,Turkiye,2019,96.7422103881836,90.8467712402344,97.0574722290039
URY,Uruguay,2018,98.703857421875,103.224647521973,106.017227172852
UZB,Uzbekistan,2019,99.9999465942383,105.622688293457,102.221481323242
WSM,Samoa,2021,99.0999984741211,114.16934967041,122.035301208496
ZAF,South Africa,2019,95.0229721069336,91.9994888305664,98.3744735717773
ZWE,Zimbabwe,2021,89.6999969482422,84.8186187744141,96.1178359985352
